feature_type,regressor,train_size,trial,method,coverage,width
Multivariate,Ridge,876,0,Original_GitHub,0.8944698122780315,270.57404389347465
Multivariate,Ridge,876,0,Reimplementation,0.8944698122780315,270.57404389347465
Multivariate,Ridge,876,0,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,0,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,1,Original_GitHub,0.8948503297818367,271.6975093654838
Multivariate,Ridge,876,1,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,1,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,2,Original_GitHub,0.8944698122780315,270.2169868864665
Multivariate,Ridge,876,2,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,2,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,3,Original_GitHub,0.8943429731100964,272.788340111429
Multivariate,Ridge,876,3,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,3,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,4,Original_GitHub,0.8943429731100964,272.8747469371071
Multivariate,Ridge,876,4,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,4,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,5,Original_GitHub,0.8944698122780315,272.3525756083042
Multivariate,Ridge,876,5,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,5,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,6,Original_GitHub,0.8939624556062912,272.78210010399954
Multivariate,Ridge,876,6,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,6,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,7,Original_GitHub,0.8943429731100964,271.586455631299
Multivariate,Ridge,876,7,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,7,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,8,Original_GitHub,0.8948503297818367,271.7125382840904
Multivariate,Ridge,876,8,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,8,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,876,9,Original_GitHub,0.8949771689497716,271.2753123724192
Multivariate,Ridge,876,9,MAPIE_Online,0.8896499238964992,288.2735128696768
Multivariate,Ridge,876,9,MAPIE_Batch,0.584855403348554,253.7661064918156
Multivariate,Ridge,1654,0,Original_GitHub,0.9037433155080213,290.4591708549895
Multivariate,Ridge,1654,0,Reimplementation,0.9037433155080213,290.4591708549895
Multivariate,Ridge,1654,0,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,0,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,1,Original_GitHub,0.9040247678018576,290.2376246567443
Multivariate,Ridge,1654,1,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,1,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,2,Original_GitHub,0.9043062200956937,288.41589467447756
Multivariate,Ridge,1654,2,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,2,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,3,Original_GitHub,0.90458767238953,288.71595081017114
Multivariate,Ridge,1654,3,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,3,MAPIE_Batch,0.7438784126090627,220.45380411819627
